,timestamp,open,high,low,close,volume
0,2023-06-01 04:04:00,59.91,59.91,59.83,59.83,101.0
1,2023-06-01 04:06:00,59.64,59.64,59.64,59.64,4.0
2,2023-06-01 04:12:00,59.88,59.88,59.88,59.88,1.0
3,2023-06-01 04:19:00,59.8,59.8,59.8,59.8,5.0
4,2023-06-01 04:21:00,59.58,59.58,59.58,59.58,5.0
5,2023-06-01 04:26:00,59.75,59.75,59.75,59.75,1.0
6,2023-06-01 04:27:00,59.3,59.3,59.3,59.3,43.0
7,2023-06-01 04:28:00,59.87,59.87,59.87,59.87,10.0
8,2023-06-01 04:29:00,59.17,59.17,59.17,59.17,16.0
9,2023-06-01 04:30:00,59.17,59.17,59.17,59.17,28.0
10,2023-06-01 04:31:00,59.17,59.17,59.17,59.17,20.0
11,2023-06-01 04:34:00,59.17,59.61,59.17,59.61,6.0
12,2023-06-01 04:35:00,59.59,59.59,59.59,59.59,1.0
13,2023-06-01 04:37:00,59.18,59.18,59.17,59.17,100.0
14,2023-06-01 04:39:00,59.82,59.82,59.82,59.82,100.0
15,2023-06-01 04:41:00,59.43,59.43,59.43,59.43,1.0
16,2023-06-01 04:42:00,59.43,59.43,59.43,59.43,1.0
17,2023-06-01 04:43:00,59.81,59.81,59.81,59.81,1.0
18,2023-06-01 04:45:00,59.8,59.8,59.8,59.8,1.0
19,2023-06-01 04:47:00,59.8,59.8,59.8,59.8,1.0
20,2023-06-01 04:49:00,59.8,59.8,59.8,59.8,1.0
21,2023-06-01 04:50:00,59.8,59.8,59.8,59.8,12.0
22,2023-06-01 04:51:00,59.79,59.79,59.79,59.79,1.0
23,2023-06-01 04:52:00,59.79,59.79,59.77,59.77,67.0
24,2023-06-01 04:55:00,59.79,59.79,59.79,59.79,3.0
25,2023-06-01 04:56:00,59.79,59.79,59.64,59.64,2.0
26,2023-06-01 04:57:00,59.79,59.79,59.79,59.79,10.0
27,2023-06-01 04:58:00,59.79,59.79,59.79,59.79,5.0
28,2023-06-01 05:00:00,59.79,59.79,59.79,59.79,20.0
29,2023-06-01 05:01:00,59.79,59.79,59.79,59.79,40.0
30,2023-06-01 05:02:00,59.65,59.79,59.64,59.79,125.0
31,2023-06-01 05:03:00,59.65,59.65,59.65,59.65,1.0
32,2023-06-01 05:04:00,59.51,59.63,59.51,59.51,21.0
33,2023-06-01 05:05:00,59.63,59.63,59.58,59.58,2.0
34,2023-06-01 05:09:00,59.58,59.58,59.58,59.58,10.0
35,2023-06-01 05:10:00,59.55,59.61,59.55,59.61,143.0
36,2023-06-01 05:11:00,59.52,59.52,59.52,59.52,20.0
37,2023-06-01 05:13:00,59.58,59.58,59.58,59.58,3.0
38,2023-06-01 05:14:00,59.58,59.58,59.58,59.58,2.0
39,2023-06-01 05:16:00,59.58,59.58,59.58,59.58,1.0
40,2023-06-01 05:20:00,59.59,59.59,59.59,59.59,100.0
41,2023-06-01 05:21:00,59.59,59.59,59.59,59.59,1.0
42,2023-06-01 05:22:00,59.58,59.58,59.58,59.58,12.0
43,2023-06-01 05:23:00,59.58,59.58,59.58,59.58,10.0
44,2023-06-01 05:24:00,59.63,59.63,59.58,59.58,44.0
45,2023-06-01 05:25:00,59.58,59.58,59.58,59.58,21.0
46,2023-06-01 05:26:00,59.58,59.58,59.58,59.58,1.0
47,2023-06-01 05:28:00,59.58,59.58,59.58,59.58,3.0
48,2023-06-01 05:29:00,59.58,59.58,59.58,59.58,13.0
49,2023-06-01 05:31:00,59.58,59.58,59.58,59.58,1.0
50,2023-06-01 05:32:00,59.58,59.58,59.58,59.58,5.0
51,2023-06-01 05:34:00,59.58,59.58,59.58,59.58,1.0
52,2023-06-01 05:49:00,59.55,59.55,59.11,59.11,145.0
53,2023-06-01 05:50:00,59.54,59.54,59.54,59.54,3.0
54,2023-06-01 05:51:00,59.2,59.2,59.17,59.17,10.0
55,2023-06-01 05:52:00,59.17,59.17,59.17,59.17,1.0
56,2023-06-01 05:59:00,59.2,59.2,59.2,59.2,100.0
57,2023-06-01 06:00:00,59.21,59.21,59.21,59.21,3.0
58,2023-06-01 06:04:00,59.24,59.24,59.24,59.24,1.0
59,2023-06-01 06:11:00,59.22,59.22,59.21,59.21,3.0
60,2023-06-01 06:17:00,59.36,59.36,59.36,59.36,6.0
61,2023-06-01 06:25:00,59.59,59.59,59.59,59.59,1.0
62,2023-06-01 06:27:00,59.62,59.62,59.62,59.62,23.0
63,2023-06-01 06:28:00,59.61,59.61,59.61,59.61,58.0
64,2023-06-01 06:30:00,59.61,59.61,59.61,59.61,4.0
65,2023-06-01 06:31:00,59.63,59.64,59.61,59.64,24.0
66,2023-06-01 06:32:00,59.61,59.61,59.61,59.61,15.0
67,2023-06-01 06:33:00,59.79,59.79,59.79,59.79,5.0
68,2023-06-01 06:34:00,59.79,59.84,59.79,59.84,57.0
69,2023-06-01 06:35:00,59.88,59.88,59.88,59.88,1.0
70,2023-06-01 06:36:00,59.88,59.88,59.88,59.88,7.0
71,2023-06-01 06:38:00,59.88,59.88,59.8,59.8,30.0
72,2023-06-01 06:41:00,59.76,59.88,59.76,59.88,69.0
73,2023-06-01 06:43:00,59.88,59.88,59.88,59.88,1.0
74,2023-06-01 06:46:00,59.86,59.86,59.86,59.86,5.0
75,2023-06-01 06:48:00,59.88,59.88,59.88,59.88,7.0
76,2023-06-01 06:50:00,59.88,59.88,59.88,59.88,14.0
77,2023-06-01 06:54:00,59.88,59.88,59.88,59.88,30.0
78,2023-06-01 06:56:00,59.53,59.53,59.53,59.53,1.0
79,2023-06-01 07:02:00,59.72,59.72,59.67,59.67,6.0
80,2023-06-01 07:03:00,59.6,59.6,59.6,59.6,8.0
81,2023-06-01 07:04:00,59.55,59.55,59.55,59.55,95.0
82,2023-06-01 07:05:00,59.65,59.68,59.65,59.68,202.0
83,2023-06-01 07:07:00,59.68,59.68,59.68,59.68,1.0
